"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,"Расстояние до центра, км",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Есть Балкон,Есть Лоджия,Metro_Аметьево,Metro_Горки,Metro_Дубравная,Metro_Козья слобода,Metro_Кремлёвская,Metro_Площадь Тукая,Metro_Проспект Победы,Metro_Северный вокзал,Metro_Суконная слобода,Metro_Яшьлек,Цена_log
37.2,15,24,6.204221523213351,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.013663260015026
40.6,1,3,19.270579729842787,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,15.423119599032198
43.0,4,9,3.4625372035777806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.291965004977964
29.9,12,17,1.951753117718628,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16.53904039555751
35.6,21,25,8.833398249776666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.977108072798384
46.3,3,8,1.067373152744839,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17.034250413589078
41.9,6,23,4.593242827660485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.242096206604813
39.5,17,19,9.032814809962415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.997734407077566
48.6,5,5,0.758221177655399,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16.575204055529493
52.2,8,10,2.71725377231751,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.077445910607096
33.4,10,10,8.261119821885691,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.76142084987672
38.2,4,4,0.6725983763172787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.46033984062023
42.7,3,15,2.7453072856584133,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,16.514444061311337
31.6,9,17,13.125020045464847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.747839614349113
38.6,4,4,15.093370439074985,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,16.125528062035134
33.6,2,13,7.867883218889441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.942423895147355
21.8,5,27,5.474646783799237,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15.909840835290563
44.4,7,10,6.292665517052503,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.08763654656639
45.9,4,17,5.957155492665508,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,16.27120267207753
48.0,4,9,2.984451310274556,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16.41069070990318
32.6,10,18,4.794220254394709,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,16.224255936714766
39.7,5,5,0.758221177655399,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16.404244123045984
38.9,2,22,5.688334347229077,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.213405921671733
55.1,2,3,0.960780627952855,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17.01248431405048
33.0,2,2,5.659428003772408,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.424948670398354
50.6,2,19,3.685840683252179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.353167852189184
34.4,7,9,14.757246284002548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.739759356223798
37.5,3,5,1.20466546278287,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16.777922938232745
73.3,2,6,1.9731371163968925,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,17.30079939389899
33.4,15,24,3.2892639500033924,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16.25289661233927
34.7,1,10,3.8950552427344456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.732433317205148
47.5,19,22,1.951753117718628,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.16457222032319
35.4,2,3,17.80749342478309,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.274125813221904
33.2,2,8,3.9187150983231582,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16.213405921671733
46.0,4,26,6.341970225569868,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.33963800103376
30.0,2,5,1.629176898367495,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.372730194883847
31.0,1,5,5.060549042889542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.501724494419891
44.5,3,4,15.63998635804528,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,15.955967351037229
34.5,2,5,21.78615302942626,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.579562185865226
52.2,3,3,1.6586195902576597,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16.87385606297451
35.7,25,25,8.83467442605838,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.8317461568961
39.8,15,20,3.732491671359808,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16.27335959658947
31.4,4,5,5.652408272562442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.501909696719672
34.3,2,22,8.210833713963046,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.14668320499196
40.0,3,17,6.080748815421133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.22784660452317
37.2,17,24,6.204221523213351,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.013663260015026
32.7,16,22,6.182144885408042,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,16.01937978839443
34.2,14,19,14.292141067646844,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.53827733427679
41.5,5,5,0.6931208334039932,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.58409132155752
49.1,5,5,0.6625010160421255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.90213508482284
39.3,8,10,2.8078694511197475,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.3003339542868
35.0,8,10,3.34672244466133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.850216336521664
13.1,9,9,6.547502379671188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.910784279814974
30.5,1,24,5.651711724623935,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0116235176825
36.0,4,11,8.42659053747315,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.856731016694035
59.8,5,5,4.509693276950504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.789452824359612
41.5,2,5,7.178662542822003,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.226497775576945
30.0,6,10,5.528266189039781,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.913528607916424
38.1,9,23,4.485701645523847,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.967272877502799
37.3,4,26,5.975895980960924,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.066802461833923
31.6,5,5,5.032667427285681,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.555976908243359
50.0,4,5,9.765617989788073,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.04013421759671
19.2,2,10,2.322199929966082,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.53827733427679
47.2,5,9,4.540881921651772,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.012735135300492
34.6,1,3,20.44296199576407,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.473738825043979
31.5,6,19,13.525938182352242,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.607270193858982
18.5,4,9,7.446198228584033,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.20155513789144
62.8,9,11,2.62761305404008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.450990137916232
17.5,2,5,10.1641582203549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.845129975145433
18.5,4,5,7.399041679209854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.006398426692876
34.9,9,10,8.548506887900897,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.882373444019521
32.7,8,17,7.0569308627108605,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.789591722875162
