Чистовая отделка,Проверено в Росреестре,От зайстройщика,Log_Цена,Log_Площадь,Log_Кол_во_этажей,Близость_к_центру_exp,is_first_floor,is_last_floor,Ближайшая станция метро_Аметьево,Ближайшая станция метро_Горки,Ближайшая станция метро_Дубравная,Ближайшая станция метро_Козья слобода,Ближайшая станция метро_Кремлёвская,Ближайшая станция метро_Площадь Тукая,Ближайшая станция метро_Проспект Победы,Ближайшая станция метро_Северный вокзал,Ближайшая станция метро_Суконная слобода,Ближайшая станция метро_Яшьлек,Балкон/Лоджия_Балкон,Балкон/Лоджия_Лоджия
0,0,0,16.11308320963728,3.822098297900159,2.3978952727983707,0.30689262334084755,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,16.070116647708897,3.966511190712216,2.9444389791664403,0.15288070902626874,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,15.434898999271326,3.5467396869528134,2.1972245773362196,0.05855037949511347,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,16.583714744660867,4.530446639792155,2.5649493574615367,0.40942126974902787,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16.597443053375926,4.1728476237100445,3.258096538021482,0.41704140219921304,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,16.648723960844016,4.3476939555933765,2.3978952727983707,0.4020701139872069,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,16.204869591428796,4.206184043977636,1.6094379124341003,0.11450669180397094,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,1,16.934820026344642,4.580877493419047,3.258096538021482,0.4094921885570866,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,16.13789837629371,4.33729074083249,1.791759469228055,0.4535309300571194,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,16.67425610466766,4.290459441148391,2.6390573296152584,0.31794217859834945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,15.76142084987672,3.8066624897703196,2.995732273553991,0.11533524805932409,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,15.992985953242759,3.6189933266497696,2.4849066497880004,0.3149914384461412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,17.129332896518292,4.523960130562548,2.1972245773362196,0.5677324278574128,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,15.978833698567334,3.5263605246161616,2.8903717578961645,0.40298870396675407,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,16.837436804308048,4.060443010546419,3.044522437723423,0.5895503602076484,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,15.816990693309524,3.8522730010223722,2.3978952727983707,0.394237155822553,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17.110977022044946,4.563305981889393,2.302585092994046,0.7266876886617225,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,16.341239282272525,4.200204952921578,2.3978952727983707,0.5823107905139763,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,16.041214714613716,3.367295829986474,3.332204510175204,0.4557936991611819,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,15.953221125692608,3.126760535960395,3.332204510175204,0.4557936991611819,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,16.190416405561198,3.9889840465642745,2.302585092994046,0.2984549043216167,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,16.6953380870181,4.312140507209715,3.258096538021482,0.48369450104353445,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,16.97251102166758,4.580877493419047,2.3978952727983707,0.28384711034026133,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,15.598901945589025,3.5553480614894135,2.70805020110221,0.23776827270941805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15.319588176962746,2.791165107812717,2.3978952727983707,0.5702697531348769,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,16.185754392890075,3.713572066704308,2.3978952727983707,0.4854728244773097,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,16.627320053453488,4.553876891600541,3.044522437723423,0.40942126974902787,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,15.273893228090627,3.427514689979529,1.791759469228055,0.2025076204509856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,16.8264733559968,4.334672938290411,1.6094379124341003,0.7978233744810168,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,16.97584774633507,4.580877493419047,3.1780538303479458,0.5620404144252222,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,15.978833698567334,4.001863709427935,2.995732273553991,0.16295768874102587,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,16.066802461833923,4.6709579265260945,0.6931471805599453,0.09280428621090758,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,15.789591722875162,3.3775875160230218,2.8903717578961645,0.5660247744203327,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,16.608514526183633,4.541164856012179,3.044522437723423,0.40942126974902787,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,16.392882511397776,4.290459441148391,2.9444389791664403,0.30920724833703706,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,15.894952224644102,3.6082115510464816,2.3978952727983707,0.4020701139872069,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,16.231424425551033,3.7612001156935624,2.995732273553991,0.6175930751495063,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,16.15731646026544,3.9396381724611196,2.4849066497880004,0.6139253787274244,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,16.349207451286784,3.9889840465642745,3.1780538303479458,0.4410827136886687,0,0,0,1,0,0,0,0,0,0,0,0,0,0
