Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена
1,37.2,15,24,0.625,6.204221523213351,Горки,3.1543795273203963,0,0,0,1,9008356
1,40.6,1,3,0.333333,19.270579729842787,Кремлёвская,18.97812859027907,2,0,0,1,4990863
1,43.0,4,9,0.444444,3.4625372035777806,Аметьево,1.0821239054347118,0,0,0,0,11899000
1,29.9,12,17,0.705882,1.9517531177186276,Суконная слобода,0.5347924800889803,0,0,0,1,15234000
1,35.6,21,25,0.84,8.833398249776666,Дубравная,3.2613560401568877,0,0,0,0,8685000
1,46.3,3,8,0.375,1.0673731527448387,Площадь Тукая,0.46335626540832364,0,0,0,1,24996600
1,41.9,6,23,0.26087,4.593242827660485,Аметьево,2.437843260685544,0,0,0,0,11320164
1,39.5,17,19,0.894737,9.032814809962417,Дубравная,3.3851798127909873,0,0,0,0,8866000
1,48.6,5,5,1.0,0.758221177655399,Кремлёвская,0.7674016648577123,0,0,0,1,15795000
1,52.2,8,10,0.8,2.71725377231751,Суконная слобода,0.3042927225997778,0,0,0,1,26100000
1,33.4,10,10,1.0,8.261119821885691,Авиастроительная,0.9614573268831529,0,0,1,0,7000000
1,38.2,4,4,1.0,0.6725983763172787,Кремлёвская,0.6605354900351046,0,0,0,0,14081040
1,42.7,3,15,0.2,2.7453072856584133,Суконная слобода,0.8441389394812777,1,0,0,1,14863870
1,31.6,9,17,0.529412,13.125020045464847,Дубравная,6.246851895341722,0,0,0,0,6905574
1,38.6,4,4,1.0,15.093370439074983,Дубравная,7.8412280386099455,1,1,0,1,10074600
1,33.6,2,13,0.153846,7.867883218889441,Авиастроительная,0.9106187939407998,0,0,0,0,8388932
1,21.8,5,27,0.185185,5.474646783799237,Горки,0.5068052413207412,0,1,0,1,8120000
1,44.4,7,10,0.7,6.292665517052503,Северный вокзал,0.9810509543579572,0,0,0,0,9700000
1,45.9,4,17,0.235294,5.957155492665508,Горки,2.8070091248188738,2,0,0,1,11654496
1,48.0,4,9,0.444444,2.9844513102745553,Суконная слобода,0.6184736968641491,0,0,1,0,13399000
1,32.6,10,18,0.555556,4.794220254394709,Козья слобода,2.9183348335076578,2,0,0,1,11120000
1,39.7,5,5,1.0,0.758221177655399,Кремлёвская,0.7674016648577123,0,0,0,1,13312900
1,38.9,2,22,0.090909,5.688334347229077,Горки,2.0003321880720106,0,0,0,0,11000000
1,55.1,2,3,0.666667,0.960780627952855,Площадь Тукая,0.8015166324319647,0,0,0,1,24458400
1,33.0,2,2,1.0,5.659428003772408,Северный вокзал,1.1328208136363036,0,0,1,0,5000000
1,50.6,2,19,0.105263,3.685840683252179,Козья слобода,1.0382014376656818,0,0,0,0,12650000
1,34.4,7,9,0.777778,14.757246284002548,Авиастроительная,13.578696190234043,0,0,0,1,6850000
1,37.5,3,5,0.6,1.20466546278287,Площадь Тукая,0.5876728751090989,0,0,0,1,19344581
1,73.3,2,6,0.333333,1.9731371163968925,Суконная слобода,1.4522259841215894,1,0,0,1,32631850
1,33.4,15,24,0.625,3.2892639500033924,Суконная слобода,1.3889303014277363,0,0,0,1,11443089
1,34.7,1,10,0.1,3.8950552427344456,Яшьлек,0.9926062527990226,0,0,0,0,6800000
1,47.5,19,22,0.863636,1.9517531177186276,Суконная слобода,0.5347924800889803,0,0,0,1,28476000
1,35.4,2,3,0.666667,17.80749342478309,Дубравная,9.523526030131693,0,0,0,0,4300000
1,33.2,2,8,0.25,3.9187150983231582,Козья слобода,2.9966242679977486,0,0,0,1,11000000
1,46.0,4,26,0.153846,6.341970225569868,Горки,2.2023296822403986,0,0,0,1,12480000
1,30.0,2,5,0.4,1.629176898367495,Суконная слобода,0.8000101153152984,0,0,0,0,12899900
1,31.0,1,5,0.2,5.060549042889542,Яшьлек,2.1230549894768873,0,0,0,0,5399000
1,44.5,3,4,0.75,15.639986358045281,Дубравная,8.404545276961677,1,0,0,1,8503320
1,34.5,2,5,0.4,21.78615302942626,Северный вокзал,19.212039362891822,0,0,0,0,5836034
1,52.2,3,3,1.0,1.6586195902576595,Площадь Тукая,1.3299148155249507,0,0,0,1,21292299
1,35.7,25,25,1.0,8.83467442605838,Дубравная,3.261767771656669,0,0,0,0,7510000
1,39.8,15,20,0.75,3.7324916713598078,Аметьево,1.361559759055431,0,0,0,1,11679661
1,31.4,4,5,0.8,5.652408272562442,Яшьлек,1.2376256574629572,0,0,1,0,5400000
1,34.3,2,22,0.090909,8.210833713963046,Дубравная,0.3039853674095482,0,0,0,0,10290000
1,40.0,3,17,0.176471,6.080748815421133,Горки,1.2110687382483973,0,0,0,0,11160000
1,37.2,17,24,0.708333,6.204221523213351,Горки,3.1543795273203963,0,0,0,1,9008356
1,32.7,16,22,0.727273,6.182144885408042,Аметьево,3.964582757048164,2,0,0,1,9060000
1,34.2,14,19,0.736842,14.292141067646844,Северный вокзал,10.861994477616362,0,0,1,0,5600000
1,41.5,5,5,1.0,0.6931208334039932,Кремлёвская,0.680229869799999,0,0,0,0,15936000
1,49.1,5,5,1.0,0.6625010160421255,Площадь Тукая,0.48360901017046726,0,0,0,0,21903019
1,39.3,8,10,0.8,2.8078694511197475,Площадь Тукая,2.738680403955438,0,0,0,0,11999000
1,35.0,8,10,0.8,3.34672244466133,Козья слобода,1.1515691079788706,0,0,0,0,7650000
студия,13.1,9,9,1.0,6.547502379671188,Аметьево,3.6608899050711003,0,0,0,0,2990000
студия,30.5,1,24,0.041667,5.651711724623935,Горки,0.43401581477797896,0,0,0,0,8990000
1,36.0,4,11,0.363636,8.42659053747315,Горки,4.919906835360406,0,0,1,0,7700000
3,59.8,5,5,1.0,4.509693276950504,Яшьлек,1.6034624929707602,0,0,0,0,7199000
2,41.5,2,5,0.4,7.178662542822003,Северный вокзал,1.957178310541797,0,0,1,0,4100000
студия,30.0,6,10,0.6,5.528266189039781,Горки,0.6248448306713755,0,0,1,0,8150000
1,38.1,9,23,0.391304,4.4857016455238465,Аметьево,0.4579944738426012,0,0,0,0,8600000
1,37.3,4,26,0.153846,5.975895980960924,Горки,1.9303252677123766,0,0,1,0,9500000
1,31.6,5,5,1.0,5.032667427285681,Суконная слобода,4.511879768443744,0,0,1,0,5700000
1,50.0,4,5,0.8,9.765617989788073,Дубравная,4.112345245364369,0,0,1,0,9250000
студия,19.2,2,10,0.2,2.322199929966082,Суконная слобода,0.527197011096098,0,0,1,0,5600000
2,47.2,5,9,0.555556,4.540881921651772,Яшьлек,0.26765927223722796,0,0,1,0,8999999
1,34.6,1,3,0.333333,20.44296199576407,Дубравная,15.666007255778394,0,0,1,0,5250000
студия,31.5,6,19,0.315789,13.525938182352242,Дубравная,7.3051116478374105,0,0,0,0,6000000
студия,18.5,4,9,0.444444,7.446198228584033,Проспект Победы,0.7624842858145002,0,0,0,0,3999000
2,62.8,9,11,0.818182,2.6276130540400797,Суконная слобода,0.7211814573992904,0,0,0,0,13950000
студия,17.5,2,5,0.4,10.164158220354901,Авиастроительная,4.381388869139936,0,0,0,0,2799999
студия,18.5,4,5,0.8,7.399041679209854,Авиастроительная,0.9345647548256253,0,0,1,0,3290000
1,34.9,9,10,0.9,8.548506887900897,Авиастроительная,1.0888218480475362,0,0,1,0,7900000
1,32.7,8,17,0.470588,7.0569308627108605,Горки,5.449675332915096,0,0,0,0,7200000
1,30.4,1,3,0.333333,4.74924082512388,Аметьево,2.349453602700612,0,0,1,0,4999000
студия,19.0,1,3,0.333333,4.865455058588552,Яшьлек,0.4170230227357772,0,0,0,0,4290000
1,30.5,1,5,0.2,2.2227171407820356,Площадь Тукая,2.1431498025439937,0,0,1,0,5900000
2,47.4,17,18,0.944444,7.810447969061136,Горки,5.6726140844772726,0,0,1,0,9300000
1,29.3,4,5,0.8,6.030759509500941,Горки,0.6279889634201815,0,0,1,0,6600000
студия,18.0,3,5,0.6,4.468336986302476,Аметьево,2.1061451048475104,0,0,1,0,4300000
2,45.8,6,10,0.6,6.638607620414206,Аметьево,3.7524480985023407,0,0,1,0,9200000
2,41.6,2,9,0.222222,1.349589191906794,Площадь Тукая,1.1888772833199885,0,0,1,0,7550000
1,46.0,6,10,0.6,8.472596904589915,Проспект Победы,2.1669820041281027,0,0,0,0,8700000
2,50.2,3,5,0.6,9.20385888772003,Авиастроительная,1.7518465115429527,0,0,1,0,6900000
1,17.8,1,5,0.2,4.429891949889585,Суконная слобода,3.3509182352948046,0,0,0,0,4590000
студия,14.0,7,9,0.777778,5.75021977547187,Горки,1.131500219413132,0,0,1,0,3145000
2,50.0,3,10,0.3,3.4433160062908907,Козья слобода,1.8927901192706007,0,0,1,0,9800000
1,31.3,6,9,0.666667,1.3495448720090004,Площадь Тукая,1.1888332031628661,0,0,1,0,9250000
1,31.3,6,9,0.666667,1.349589191906794,Площадь Тукая,1.1888772833199885,0,0,1,0,9240000
студия,17.3,3,3,1.0,3.9828967319960484,Аметьево,1.341006610718548,0,0,1,0,3559000
студия,12.6,8,9,0.888889,5.671633260416502,Горки,0.877874517264601,0,0,0,0,3700000
2,42.5,8,9,0.888889,11.648661765177483,Авиастроительная,9.166268608445916,0,0,1,0,6900000
1,32.4,9,9,1.0,4.489628405440657,Козья слобода,2.8034506646815247,0,0,0,0,7450000
2,50.1,3,9,0.333333,4.683551669945715,Козья слобода,2.849644009293032,0,0,1,0,10990000
1,30.8,5,5,1.0,5.079423927449208,Аметьево,1.0004851511425354,0,0,1,0,6400000
1,29.0,6,9,0.666667,2.8611603121191407,Суконная слобода,1.25561242474567,0,0,1,0,7200000
1,42.4,3,5,0.6,14.20755644190302,Северный вокзал,10.674728851074557,0,0,1,0,6000000
2,45.0,4,5,0.8,10.729544982047743,Авиастроительная,8.64110556876077,0,0,0,0,7300000
2,58.6,3,3,1.0,20.584299764532158,Дубравная,15.60494732617432,0,0,0,0,8550000
1,41.0,2,3,0.666667,17.62927212707694,Дубравная,9.364307920561348,0,0,1,0,5430000
1,29.5,1,5,0.2,5.626804186591108,Суконная слобода,4.856933998922052,0,0,1,0,5800000
студия,17.1,1,9,0.111111,5.079935828614964,Яшьлек,1.2527696640212798,0,0,0,0,3950000
3,115.7,22,23,0.956522,5.405609407263594,Аметьево,1.417671515044734,0,0,0,0,25735000
1,36.9,1,3,0.333333,16.507026072605345,Дубравная,8.238675354079424,0,0,1,0,4490000
1,38.4,2,9,0.222222,2.1668116628112077,Суконная слобода,0.9421906757761206,0,0,1,0,12399000
2,53.1,7,17,0.411765,12.86033109261013,Дубравная,6.211195100531648,0,0,0,0,9460000
2,50.0,6,10,0.6,3.890423002685189,Козья слобода,1.3775155771847658,0,0,0,0,15000000
1,40.1,8,20,0.4,2.9041799626762765,Козья слобода,0.9579480901948769,0,0,0,0,13032500
1,43.7,3,10,0.3,5.670943703462874,Суконная слобода,4.756481750568579,0,0,0,0,9800000
1,24.7,1,19,0.052632,6.30599107933822,Горки,1.4086562811639092,0,0,0,0,6390000
студия,30.7,9,10,0.9,13.589928073571812,Дубравная,7.226733021119685,0,0,1,0,5650000
3,72.6,9,12,0.75,7.749666672297249,Авиастроительная,0.4130151906114157,0,0,0,0,15640990
4,202.0,19,19,1.0,3.4646122003442557,Суконная слобода,2.359143157747134,0,0,0,0,35000000
1,39.1,19,20,0.95,2.9041799626762765,Козья слобода,0.9579480901948769,0,0,0,0,11339000
2,67.0,10,21,0.47619,8.04232011280695,Проспект Победы,1.9960135399285814,0,0,0,0,13300000
1,17.4,3,3,1.0,0.6532487093983349,Кремлёвская,0.42890356816185354,0,0,1,0,5750000
2,41.8,1,5,0.2,1.5529229930600603,Площадь Тукая,1.486480764726982,0,0,1,0,7770000
3,88.6,3,6,0.5,3.823325174561187,Козья слобода,2.995260427527694,0,0,0,0,25100000
4,139.0,9,10,0.9,7.521475030375569,Проспект Победы,3.2715443808297286,0,0,0,0,19500000
студия,26.3,1,3,0.333333,16.5825592615498,Дубравная,8.274722011653173,0,0,1,0,4070000
1,42.2,10,19,0.526316,5.919782431929175,Горки,0.32883586329792464,0,0,0,0,10999000
1,33.8,5,10,0.5,2.7938446635325165,Площадь Тукая,2.7399359649856354,0,0,1,0,10490000
2,54.7,6,25,0.24,12.900455169238413,Дубравная,6.322677195230827,0,0,0,0,10044000
3,74.1,2,10,0.2,8.832853229002227,Горки,4.964950286116206,0,0,0,0,14600000
2,69.4,9,10,0.9,9.354827436118542,Дубравная,1.9478650909167505,0,0,0,0,13600000
3,76.9,2,18,0.111111,6.57003484239616,Горки,2.432684153270568,0,0,1,0,18890000
2,53.4,3,9,0.333333,6.776055620076078,Горки,3.355264231324026,0,0,1,0,8700000
1,13.3,2,5,0.4,7.7856069591376365,Авиастроительная,1.2825765163925305,0,0,1,0,1900000
1,30.4,5,5,1.0,5.452190448213832,Северный вокзал,1.2508467811470925,0,0,0,0,6150000
1,30.3,2,3,0.666667,20.587856271164547,Дубравная,15.83400929133854,0,0,1,0,5300000
3,100.0,13,19,0.684211,3.4474075325360705,Суконная слобода,1.2494409828107877,0,0,1,0,19990000
1,47.1,12,13,0.923077,12.86033109261013,Дубравная,6.211195100531648,0,0,0,0,8980000
1,36.3,4,9,0.444444,2.5841662672408066,Суконная слобода,1.4299994548202175,0,0,0,0,10600000
2,60.4,4,5,0.8,0.4216733162981688,Кремлёвская,0.6883730820916848,0,0,0,0,16500000
3,60.0,3,5,0.6,5.7962562813526395,Яшьлек,2.710025469373306,0,0,0,0,8300000
студия,26.5,26,27,0.962963,4.4449793015783925,Аметьево,0.3178995289950383,0,0,1,0,8900000
2,56.1,18,20,0.9,2.9041799626762765,Козья слобода,0.9579480901948769,0,0,0,0,17671500
2,59.0,2,3,0.666667,15.8602259937377,Дубравная,7.550934964869225,0,0,1,0,5690000
3,125.8,2,4,0.5,0.614558555581301,Кремлёвская,0.30982580140533544,0,0,0,0,23990000
